inform,simil,vocab,compreh,digspan,arith,piccomp,block,matrixreason,symbolsearch,digsym
23,22,57,16,28,12,15,32,19,24,26
8,11,30,16,15,10,11,16,10,17,53
19,24,61,19,27,12,17,38,11,21,72
5,26,46,29,25,16,18,38,16,26,64
24,22,63,32,19,14,17,49,8,38,76
22,23,58,23,21,14,16,20,18,31,93
4,23,38,27,14,12,14,37,18,34,70
15,23,46,22,13,12,10,38,12,23,49
27,26,60,30,16,13,17,34,15,26,30
29,27,62,26,18,14,15,33,20,29,88
21,19,48,25,22,14,15,51,11,33,93
22,21,56,20,11,11,16,50,14,41,59
15,20,41,20,25,12,15,33,17,38,50
16,24,49,28,11,3,14,31,11,34,62
12,28,50,30,20,9,18,43,15,36,85
23,21,48,26,9,11,16,42,19,37,51
22,22,66,28,11,6,14,29,17,32,64
19,15,45,18,17,9,11,42,18,31,66
23,21,58,30,18,8,15,25,11,33,81
20,23,52,24,16,10,19,23,20,29,67
8,18,41,19,16,11,11,22,16,30,74
26,24,51,28,26,17,18,40,16,27,66
18,21,54,23,11,11,17,31,14,23,53
20,23,51,19,15,8,11,34,12,31,40
23,22,44,27,17,13,12,25,16,30,70
20,24,54,29,18,7,13,24,16,38,66
20,21,46,16,17,12,18,36,17,36,69
16,19,50,17,16,9,17,35,12,33,51
15,24,54,23,18,14,14,21,13,29,72
25,21,57,20,24,12,16,36,11,34,61
17,17,49,27,11,11,13,35,13,25,73
24,16,52,27,16,7,16,31,15,33,59
15,24,64,27,14,11,18,39,15,39,66
15,26,55,24,17,15,17,27,14,32,54
21,27,60,25,13,9,18,24,15,34,77
20,25,53,24,14,15,18,51,18,35,93
26,25,62,29,15,8,19,46,16,35,79
23,27,69,32,20,14,18,30,16,32,50
25,28,69,31,26,16,20,35,20,36,77
16,17,49,27,15,9,18,51,17,38,70
17,25,43,22,16,14,13,47,17,35,75
19,23,57,22,21,18,16,42,19,40,61
27,26,61,28,15,19,18,50,17,39,66
20,24,57,22,27,15,19,50,17,39,69
18,23,51,29,19,15,19,50,20,37,54
17,23,54,29,18,6,18,27,14,32,67
15,23,60,25,22,14,17,45,20,37,89
24,22,62,20,24,17,18,47,19,32,57
25,23,60,23,22,15,13,45,19,35,77
22,18,55,25,21,11,12,32,17,31,79
29,26,64,28,14,16,17,48,18,39,81
18,25,51,29,22,17,19,34,19,35,81
29,26,67,30,27,16,18,48,18,36,54
20,24,63,25,22,15,14,42,17,40,54
20,28,60,30,24,12,19,41,20,37,57
26,24,60,23,16,13,19,44,14,33,84
14,21,46,22,15,16,15,35,16,35,66
13,22,59,23,16,10,16,39,18,33,64
24,23,54,23,20,13,18,38,16,26,77
17,22,57,28,17,8,20,39,18,34,72
17,21,54,27,26,10,17,35,16,35,75
23,24,63,29,21,10,14,44,13,34,64
19,25,65,29,19,14,14,41,16,36,48
23,24,54,25,16,11,13,27,10,28,63
17,26,62,30,20,15,19,50,17,35,84
14,20,42,26,14,8,11,30,14,32,65
18,27,58,25,24,10,15,40,17,34,67
24,19,51,23,22,14,18,47,14,36,76
21,16,53,22,22,10,15,40,14,35,77
21,23,59,26,19,12,19,48,12,38,72
28,28,63,32,24,16,17,44,18,38,59
26,24,64,31,13,12,19,45,17,33,64
24,23,63,31,21,14,18,37,16,39,66
17,20,56,25,22,11,17,41,11,33,66
19,22,58,32,23,15,19,48,16,34,77
22,25,57,29,20,19,18,42,15,36,70
23,28,65,32,18,17,17,49,19,37,77
21,22,58,27,14,8,19,33,16,36,81
18,26,51,25,25,13,17,40,17,39,81
17,22,47,22,15,13,18,42,14,30,78
19,20,56,21,19,16,13,45,17,32,62
18,24,51,30,18,11,18,33,19,36,66
17,23,57,26,22,14,12,40,15,34,52
22,24,61,25,19,17,14,47,18,33,59
22,24,50,29,20,15,15,46,17,34,80
20,17,53,28,17,11,16,37,12,31,68
14,26,52,23,20,10,16,30,14,33,51
23,20,47,27,17,15,16,47,17,35,71
21,24,56,29,23,18,16,46,18,37,57
20,23,61,31,20,17,17,46,18,34,76
16,24,51,29,19,14,14,40,13,36,68
23,27,67,31,22,16,19,48,17,33,59
17,24,53,22,22,14,18,39,20,33,63
21,24,60,28,22,19,17,45,17,35,76
20,25,55,25,25,15,14,38,18,30,57
26,22,60,27,21,13,15,39,18,32,77
21,24,61,27,26,15,20,46,18,34,66
21,25,61,26,16,12,19,46,16,36,54
24,24,58,25,14,16,17,44,18,35,77
25,23,61,28,14,14,17,47,18,35,82
23,19,56,25,21,16,17,45,17,33,52
19,19,50,21,22,16,17,39,16,30,66
17,17,51,20,13,10,15,39,15,32,66
17,20,47,25,16,13,14,46,17,38,74
24,28,67,29,20,14,18,44,20,37,66
18,23,43,23,19,13,17,33,14,31,73
18,18,49,25,16,10,17,39,18,36,82
19,23,49,28,13,11,15,40,17,35,65
22,23,54,22,18,11,14,28,15,30,73
24,25,62,31,21,12,17,36,17,36,77
17,25,57,30,16,12,19,43,17,35,74
26,24,62,24,20,14,17,46,15,37,66
20,24,61,27,16,14,16,41,17,39,69
16,22,47,21,18,12,17,40,17,31,68
19,22,46,20,16,12,15,34,16,34,72
22,22,52,25,20,12,18,44,18,33,72
18,23,51,22,21,14,18,36,18,35,70
22,26,54,27,21,16,17,42,18,39,65
20,23,54,26,19,16,15,41,13,32,60
20,25,61,27,18,14,17,40,14,32,57
22,22,62,26,18,14,17,40,15,34,58
17,22,47,24,21,13,16,41,14,34,66
19,25,54,27,17,15,18,39,16,33,68
20,23,54,28,16,13,16,38,15,36,70
